AREA_TITLE,H_MEAN,A_MEAN,OCC_TITLE
"Chicago-Naperville-Elgin, IL-IN-WI",49.27,102490,Computer and Mathematical Occupations
"Chicago-Naperville-Elgin, IL-IN-WI",49.11,102150,Computer Systems Analysts
"Chicago-Naperville-Elgin, IL-IN-WI",55.76,115980,Information Security Analysts
"Chicago-Naperville-Elgin, IL-IN-WI",56.61,117760,Computer and Information Research Scientists
"Chicago-Naperville-Elgin, IL-IN-WI",36.26,75410,Computer Network Support Specialists
"Chicago-Naperville-Elgin, IL-IN-WI",29.52,61400,Computer User Support Specialists
"Chicago-Naperville-Elgin, IL-IN-WI",62.98,130990,Computer Network Architects
"Chicago-Naperville-Elgin, IL-IN-WI",53.95,112220,Database Administrators
"Chicago-Naperville-Elgin, IL-IN-WI",63.3,131660,Database Architects
"Chicago-Naperville-Elgin, IL-IN-WI",44.98,93560,Network and Computer Systems Administrators
"Chicago-Naperville-Elgin, IL-IN-WI",43.54,90570,Computer Programmers
"Chicago-Naperville-Elgin, IL-IN-WI",59.54,123830,Software Developers
"Chicago-Naperville-Elgin, IL-IN-WI",47.6,99010,Software Quality Assurance Analysts and Testers
"Chicago-Naperville-Elgin, IL-IN-WI",42.09,87540,Web Developers
"Chicago-Naperville-Elgin, IL-IN-WI",34.26,71270,Web and Digital Interface Designers
"Chicago-Naperville-Elgin, IL-IN-WI",47.34,98470,"Computer Occupations, All Other"
"Chicago-Naperville-Elgin, IL-IN-WI",64.28,133710,Actuaries
"Chicago-Naperville-Elgin, IL-IN-WI",47.61,99030,Mathematicians
"Chicago-Naperville-Elgin, IL-IN-WI",48.25,100360,Operations Research Analysts
"Chicago-Naperville-Elgin, IL-IN-WI",51.88,107900,Statisticians
"Chicago-Naperville-Elgin, IL-IN-WI",53.27,110800,Data Scientists
"Chicago-Naperville-Elgin, IL-IN-WI",39.6,82380,"Mathematical Science Occupations, All Other"
